model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-7B,W8A16_INT8KV,long_in_long_out,2564,2564,318811.83,31881.14,0.0314,86.2,87.61,522.81,11.414,511.15,566.23,566.23,566.23,11.412,11.467,11.467,11.467,100.0,22718.0,390.28
Qwen2.5-7B,W8A8_SQ,short_in_short_out,256,256,29371.28,2937.11,0.3405,95.2,95.7,25.94,10.449,22.86,31.78,31.78,31.78,10.448,10.468,10.468,10.468,99.0,22730.0,387.9
Qwen2.5-7B,W8A8_SQ,long_in_short_out,2564,256,31827.14,3182.69,0.3142,87.85,93.65,207.7,10.678,205.96,222.14,222.14,222.14,10.68,10.692,10.692,10.692,100.0,22728.0,390.02
Qwen2.5-7B,W8A8_SQ,short_in_long_out,256,2564,290950.95,29095.05,0.0344,94.46,94.51,26.01,10.581,22.85,32.28,32.28,32.28,10.584,10.589,10.589,10.589,100.0,22730.0,388.17
Qwen2.5-7B,W8A8_SQ,long_in_long_out,2564,2564,298434.78,29843.44,0.0335,92.09,92.7,208.43,10.787,207.84,221.86,221.86,221.86,10.788,10.806,10.806,10.806,100.0,22728.0,390.44
Qwen2.5-7B,W8A8_SQ_INT8KV,short_in_short_out,256,256,29480.63,2948.04,0.3392,94.84,95.34,25.89,10.489,22.83,31.59,31.59,31.59,10.49,10.504,10.504,10.504,100.0,22730.0,387.91
Qwen2.5-7B,W8A8_SQ_INT8KV,long_in_short_out,2564,256,33555.36,3355.52,0.298,83.32,88.4,203.92,11.312,202.97,217.05,217.05,217.05,11.316,11.325,11.325,11.325,100.0,22730.0,387.48
Qwen2.5-7B,W8A8_SQ_INT8KV,short_in_long_out,256,2564,301607.61,30160.72,0.0332,91.12,91.17,25.95,10.969,22.68,31.77,31.77,31.77,10.974,10.981,10.981,10.981,100.0,22730.0,389.08
Qwen2.5-7B,W8A8_SQ_INT8KV,long_in_long_out,2564,2564,321589.8,32158.94,0.0311,85.46,85.98,204.81,11.631,202.66,217.25,217.25,217.25,11.635,11.694,11.694,11.694,100.0,22730.0,388.3
Qwen2.5-7B,W4A16,short_in_short_out,256,256,19295.4,1929.52,0.5183,144.9,148.64,55.06,6.728,51.52,60.87,60.87,60.87,6.731,6.756,6.756,6.756,99.0,22408.0,389.38
